id,sumgrades,questionid,slot,maxmark,mark
37458,11.3,7,7,0,0
37459,11.3,8,8,8,4.5
37460,11.3,14,9,1,0.9
37461,11.3,15,10,1,1
37462,11.3,16,11,1,1
37463,11.3,17,12,1,0.9
37470,11.3,18,19,1,0
37471,11.3,19,20,1,0
37468,11.3,20,17,1,0
37469,11.3,21,18,1,0
37465,11.3,22,14,1,1
37466,11.3,23,15,1,1
37467,11.3,24,16,1,1
37464,11.3,25,13,1,0
37472,11.2,1,1,1,0
37473,11.2,2,2,1,0
37474,11.2,3,3,1,0
37475,11.2,4,4,1,0
37496,11.2,5,5,0,0
37497,11.2,6,6,0,0
37498,11.2,7,7,0,0
37499,11.2,8,8,8,3
37500,11.2,14,9,1,0.3
37501,11.2,15,10,1,0.3
37502,11.2,16,11,1,0.3
37503,11.2,17,12,1,0.3
37510,11.2,18,19,1,1
37511,11.2,19,20,1,1
37508,11.2,20,17,1,1
37509,11.2,21,18,1,1
37505,11.2,22,14,1,0
37506,11.2,23,15,1,1
37507,11.2,24,16,1,1
37504,11.2,25,13,1,1
37632,14.1,1,1,1,0
37633,14.1,2,2,1,0
37634,14.1,3,3,1,0
37635,14.1,4,4,1,0
37656,14.1,5,5,0,0
37657,14.1,6,6,0,0
37658,14.1,7,7,0,0
37659,14.1,8,8,8,6
37660,14.1,14,9,1,0.9
37661,14.1,15,10,1,0.9
37662,14.1,16,11,1,1
37663,14.1,17,12,1,0.3
37670,14.1,18,19,1,0
37671,14.1,19,20,1,1
37668,14.1,20,17,1,1
37669,14.1,21,18,1,0
37665,14.1,22,14,1,1
37666,14.1,23,15,1,1
37667,14.1,24,16,1,1
37664,14.1,25,13,1,0
37672,8.6,1,1,1,0
37673,8.6,2,2,1,0
37674,8.6,3,3,1,0
37675,8.6,4,4,1,0
37696,8.6,5,5,0,0
37697,8.6,6,6,0,0
37698,8.6,7,7,0,0
37699,8.6,8,8,8,0.5
37700,8.6,14,9,1,0.9
37701,8.6,15,10,1,1
37702,8.6,16,11,1,0.9
37703,8.6,17,12,1,0.3
37710,8.6,18,19,1,0
37711,8.6,19,20,1,1
37708,8.6,20,17,1,1
37709,8.6,21,18,1,1
37705,8.6,22,14,1,1
37706,8.6,23,15,1,1
37707,8.6,24,16,1,0
37704,8.6,25,13,1,0
37712,11.6,1,1,1,0
37713,11.6,2,2,1,0
37714,11.6,3,3,1,0
37715,11.6,4,4,1,0
37736,11.6,5,5,0,0
37737,11.6,6,6,0,0
37738,11.6,7,7,0,0
37739,11.6,8,8,8,5.5
37740,11.6,14,9,1,0.9
37741,11.6,15,10,1,1
37742,11.6,16,11,1,0.9
37743,11.6,17,12,1,0.3
37750,11.6,18,19,1,0
37751,11.6,19,20,1,0
37748,11.6,20,17,1,1
37749,11.6,21,18,1,0
37745,11.6,22,14,1,1
37746,11.6,23,15,1,0
37747,11.6,24,16,1,0
37744,11.6,25,13,1,1
38072,9.3,1,1,1,0
38073,9.3,2,2,1,0
38074,9.3,3,3,1,0
38075,9.3,4,4,1,0
38096,9.3,5,5,0,0
38097,9.3,6,6,0,0
38098,9.3,7,7,0,0
38099,9.3,8,8,8,2.5
38100,9.3,14,9,1,0.9
38101,9.3,15,10,1,1
38102,9.3,16,11,1,1
38103,9.3,17,12,1,0.9
38110,9.3,18,19,1,0
38111,9.3,19,20,1,1
38108,9.3,20,17,1,1
38109,9.3,21,18,1,0
38105,9.3,22,14,1,1
38106,9.3,23,15,1,0
38107,9.3,24,16,1,0
38104,9.3,25,13,1,0
38232,13.1,1,1,1,0
38233,13.1,2,2,1,0
38234,13.1,3,3,1,0
38235,13.1,4,4,1,0
38256,13.1,5,5,0,0
38257,13.1,6,6,0,0
38258,13.1,7,7,0,0
38259,13.1,8,8,8,4
38260,13.1,14,9,1,0.9
38261,13.1,15,10,1,0.3
38262,13.1,16,11,1,0.9
38263,13.1,17,12,1,1
38270,13.1,18,19,1,0
38271,13.1,19,20,1,1
38268,13.1,20,17,1,1
38269,13.1,21,18,1,1
38265,13.1,22,14,1,1
38266,13.1,23,15,1,1
38267,13.1,24,16,1,1
38264,13.1,25,13,1,0
38272,11.5,1,1,1,0
38273,11.5,2,2,1,0
38274,11.5,3,3,1,0
38275,11.5,4,4,1,0
38296,11.5,5,5,0,0
38297,11.5,6,6,0,0
38298,11.5,7,7,0,0
38299,11.5,8,8,8,4
38300,11.5,14,9,1,0.9
38301,11.5,15,10,1,0.3
38302,11.5,16,11,1,0.3
38303,11.5,17,12,1,1
38310,11.5,18,19,1,1
38311,11.5,19,20,1,0
38308,11.5,20,17,1,0
38309,11.5,21,18,1,1
38305,11.5,22,14,1,1
38306,11.5,23,15,1,1
38307,11.5,24,16,1,0
38304,11.5,25,13,1,1
38472,11.3,1,1,1,0
38473,11.3,2,2,1,0
38474,11.3,3,3,1,0
38475,11.3,4,4,1,0
38496,11.3,5,5,0,0
38497,11.3,6,6,0,0
38498,11.3,7,7,0,0
38499,11.3,8,8,8,3
38500,11.3,14,9,1,1
38501,11.3,15,10,1,1
38502,11.3,16,11,1,0.3
38503,11.3,17,12,1,1
38510,11.3,18,19,1,1
38511,11.3,19,20,1,0
38508,11.3,20,17,1,1
38509,11.3,21,18,1,1
38505,11.3,22,14,1,1
38506,11.3,23,15,1,0
38507,11.3,24,16,1,1
38504,11.3,25,13,1,0
38632,5.5,1,1,1,0
38633,5.5,2,2,1,0
38634,5.5,3,3,1,0
38635,5.5,4,4,1,0
38656,5.5,5,5,0,0
38657,5.5,6,6,0,0
38658,5.5,7,7,0,0
38659,5.5,8,8,8,1
38660,5.5,14,9,1,1
38661,5.5,15,10,1,0.9
38662,5.5,16,11,1,0.3
38663,5.5,17,12,1,0.3
38670,5.5,18,19,1,0
38671,5.5,19,20,1,0
38668,5.5,20,17,1,0
38669,5.5,21,18,1,0
38665,5.5,22,14,1,0
38666,5.5,23,15,1,1
38667,5.5,24,16,1,0
38664,5.5,25,13,1,1
38672,4.8,1,1,1,0
38673,4.8,2,2,1,0
38674,4.8,3,3,1,0
38675,4.8,4,4,1,0
38696,4.8,5,5,0,0
38697,4.8,6,6,0,0
38698,4.8,7,7,0,0
38699,4.8,8,8,8,1
38700,4.8,14,9,1,0.3
38701,4.8,15,10,1,0.3
38702,4.8,16,11,1,0.3
38703,4.8,17,12,1,0.9
38710,4.8,18,19,1,0
38711,4.8,19,20,1,1
38708,4.8,20,17,1,0
38709,4.8,21,18,1,0
38705,4.8,22,14,1,0
38706,4.8,23,15,1,0
38707,4.8,24,16,1,1
38704,4.8,25,13,1,0
38992,8.7,1,1,1,0
38993,8.7,2,2,1,0
38994,8.7,3,3,1,0
38995,8.7,4,4,1,0
39016,8.7,5,5,0,0
39017,8.7,6,6,0,0
39018,8.7,7,7,0,0
39019,8.7,8,8,8,1.5
39020,8.7,14,9,1,1
39021,8.7,15,10,1,0.3
39022,8.7,16,11,1,0.9
39023,8.7,17,12,1,1
39030,8.7,18,19,1,0
39031,8.7,19,20,1,0
39028,8.7,20,17,1,1
39029,8.7,21,18,1,0
39025,8.7,22,14,1,1
39026,8.7,23,15,1,0
39027,8.7,24,16,1,1
39024,8.7,25,13,1,1
39032,11.8,1,1,1,0
39033,11.8,2,2,1,0
39034,11.8,3,3,1,0
39035,11.8,4,4,1,0
39056,11.8,5,5,0,0
39057,11.8,6,6,0,0
39058,11.8,7,7,0,0
39059,11.8,8,8,8,4
39060,11.8,14,9,1,0.9
39061,11.8,15,10,1,1
39062,11.8,16,11,1,0.9
39063,11.8,17,12,1,1
39070,11.8,18,19,1,0
39071,11.8,19,20,1,0
39068,11.8,20,17,1,0
39069,11.8,21,18,1,1
39065,11.8,22,14,1,1
39066,11.8,23,15,1,1
39067,11.8,24,16,1,1
39064,11.8,25,13,1,0
39272,6,1,1,1,0
39273,6,2,2,1,0
39274,6,3,3,1,0
39275,6,4,4,1,0
39296,6,5,5,0,0
39297,6,6,6,0,0
39298,6,7,7,0,0
39299,6,8,8,8,2
39300,6,14,9,1,0.9
39301,6,15,10,1,0.9
39302,6,16,11,1,0.3
39303,6,17,12,1,0.9
39310,6,18,19,1,0
39311,6,19,20,1,0
39308,6,20,17,1,0
39309,6,21,18,1,0
39305,6,22,14,1,1
39306,6,23,15,1,0
39307,6,24,16,1,0
39304,6,25,13,1,0
36192,5.9,1,1,1,0
36193,5.9,2,2,1,0
36194,5.9,3,3,1,0
36195,5.9,4,4,1,0
36216,5.9,5,5,0,0
36217,5.9,6,6,0,0
36218,5.9,7,7,0,0
36219,5.9,8,8,8,1
36220,5.9,14,9,1,1
36221,5.9,15,10,1,0.3
36222,5.9,16,11,1,0.3
36223,5.9,17,12,1,0.3
36230,5.9,18,19,1,0
36231,5.9,19,20,1,0
36228,5.9,20,17,1,1
36229,5.9,21,18,1,0
36225,5.9,22,14,1,1
36226,5.9,23,15,1,1
36227,5.9,24,16,1,0
36224,5.9,25,13,1,0
36352,12.8,1,1,1,0
36353,12.8,2,2,1,0
36354,12.8,3,3,1,0
36355,12.8,4,4,1,0
36376,12.8,5,5,0,0
36377,12.8,6,6,0,0
36378,12.8,7,7,0,0
36379,12.8,8,8,8,6
36380,12.8,14,9,1,0.9
36381,12.8,15,10,1,1
36382,12.8,16,11,1,1
36383,12.8,17,12,1,0.9
36390,12.8,18,19,1,1
36391,12.8,19,20,1,1
36388,12.8,20,17,1,0
36389,12.8,21,18,1,0
36385,12.8,22,14,1,0
36386,12.8,23,15,1,0
36387,12.8,24,16,1,1
36384,12.8,25,13,1,0
36832,13.8,1,1,1,0
36833,13.8,2,2,1,0
36834,13.8,3,3,1,0
36835,13.8,4,4,1,0
36856,13.8,5,5,0,0
36857,13.8,6,6,0,0
36858,13.8,7,7,0,0
36859,13.8,8,8,8,7
36860,13.8,14,9,1,0.9
36861,13.8,15,10,1,0.3
36862,13.8,16,11,1,0.3
36863,13.8,17,12,1,0.3
36870,13.8,18,19,1,0
36871,13.8,19,20,1,0
36868,13.8,20,17,1,1
36869,13.8,21,18,1,1
36865,13.8,22,14,1,0
36866,13.8,23,15,1,1
36867,13.8,24,16,1,1
36864,13.8,25,13,1,1
